,comment_id,comments,reply
28,h02anox,"I know this sounds like a complete and utter mambo jumbo bullshit and it makes me roll my eyes, too.

But, what if you actually, just for yourself, wrote down the absolute opposites of this. And you did that every day for some time. It doesn't actually matter that you don't believe it and that it makes you cringe and a little angry even. It still works, slowly but surely.

\---

I will be happy. I am fucking happy!

I am satisfied with myself. And I will be more and more.

People love me. And I'll work on it so there's more love in the world.

I am can have love and happiness, every day. Just as the next guy.

//Deserving something does not mean you'll get it.

\- Just don't say that. Replace this with something else. Like - I will work every day towards my goals. Even a tiny little bit.

Good things happen, TO EVERYONE. I'm no special snowflake.

//I do not deserve this suffering, and suicide is the only way I have to take matters into my own hands.

I have suffered and have won. I will always win. I will always fight. And it will become easier and easier. Until I'm a master slayer.

\---

I'd do this in your own words for a couple of days, or as long as you can go.

Doing affirmations like this has helped me incredibly. It just did and I can swear, it at least won't do any damage. Your brain (anyone's) is not that smart. He won't know that you're lying to him when you're thinking  ""Jesus I'm so happy! How did I even become this happy? I don't know! But I am!"" Sure it doesn't work instantaneously, but actually faster than I thought.

I really have found that even when I say these positive things sarcastically, they still kinda sorta work.

Sorry to have annoyed you with my bullcrap ""wisdom"". It is just something that helps me.

&#x200B;

//edit: Even if you don't do this, I beg you, to at least not think the things you wrote. Not too often and definitely don't indulge in it. The affirmations really work, both ways. These things very easily become reality if you think of them too often.",
29,h02ajmy,"From personal experience, relationships usually don't make you happy in the long run. If you're in a bad state by yourself, this will affect your relationship negatively. Another thing is that relationships for the most part don't end in marriage. Especially if it's your first. If you're not doing well by yourself, get into a relationship, and then break up, you'll inevitably feel lower than before the relationship began.

You usually have to learn to be happy by yourself before you can have a healthy relationship.",
30,h02ahmb,"How can you lose a script?? Surely you get it from the doctors then go straight to the pharmacy?? 

You need to start organising your life mate because this is no one else's fault but your own. 

Ring the doctors and let them know you need another script ASAP.",||
31,h02afyc,"The US, this happened here in California. Bay Area", residents and visitors alike took advantage of the city's unique setting and created an unforgettable evening for all ages.||
32,h02a9j3,If only I didn't have kids. I think about this often.," When I'm at work and in my car, I look out for each other and try to be a father to my kids.||"
33,h02a8ve,People of various disabilities have done amazing things in life.  Grab some books that tell of these people as they will give you hope.,||
34,h02a76i,"I sought professional help, but they told me i wasn't depressed because i could get up and hold down a job.

Working on yourself is what people who have never not had someone in their lives say because they think it so fucking easy.

Until they go 20+ years without a single kiss or cuddle and see how fucking able they are to love themselves out of depression.

Buuuut you cant say that to people because they get stroppy and say ""I've been alone plenty - I loved myself and now I have a loving wife/husband"" or ""how dare you say we haven't suffered""

bleh, doesn't really matter what they say tbh - nothings gonna change anything - exercise, healthy eating, self love - all of it won't change the simple fact that no one wants me.

You guys ain't alone.",
35,h02a50i,"Maybe try pomodoro technique? Or just try to focus for 30 minutes and then have a short break. And repeat. 
I also have problems with focus and I always read everything at once and then I'm overwhelmed by the amount of work. 
 It sucks but we need to get through this.",||
36,h02a4s0,I am scared. I choose by least scary," to be a human. I choose by the most dangerous to be a robot, and I choose for the sake of humanity.||"
37,h02a4no,"If u have to bite your tongue around them that means they're doing shit u don't agree with, in my experiences it's better to be open and honest maybe things don't end the way you want but at least you got your absolutely VALID feelings across. A lot of guys find that extremely attractive btw I've got faith in u friend :)",||
38,h02a42n,"I can so relate. I am feeling so alone in my life, yet I find it so hard to make real friends. And when I do, I find they often dont reply my messages, or dont seem to reciprocate being caring and considerate towards me, as well as I am of  them. Inside I feel so sad. I feel like no one in my life is on my team, or really cares about me. I am a single mum, my son has asbergers, and so doesnt express love and empathy like others. His dad bailed on us, and isnt interested or in contact anymore. I moved to be closer to my family, yet they would never visit me. It is all one sided in my life. It just compounds my innner feeling of worthlessness, that noone can love or care about me. Thinking perhaps I should talk to a therapist. 
I am just tired of feeling so alone, and that life is hard and noone cares. I am sorry, for blabbering on. Thankyou for reading, and I hope things improve for you. Tomorrows a new day hey!",
39,h02a3p4,"well for me, it just seems like it makes you happy. and im not sure when the last time i was truly happy. and society makes relationships seem like the holy grail.",||
40,h02a1e0,"No, you want to be you. you are around people who expect you not to be. I'm sorry your sister wasn't good to you. but you can't let people like her drag you down. embrace who you are.  prioritize yourself and meet your own goals. we don't have enough time in this life to maintain a false image of ourselves. fuck what other people think. you're not weak. you're resilient. you've endured a lot, just don't take it on yourself. you're great the way you are, the care you have for your sister is wonderful. it's sad she doesn't see that right now. but someone will soon enough. just keep going, I believe in you",
41,h029z5j,I'm in the same boat. Busted ass for the last 6 Months to secure a payrise and a bonus only to be told in my review last week that my payrise will be given in the next quarter and they have decided not to go with the bonus'. I have 2 kids and another on the way and I was really counting on that extra income. Now I feel like I can't provide for my family no matter how hard I work. I just don't see the point if people aren't going to hold up their end of the deal. I thought hard work pays off? Apparently not. I actually enjoyed my job for a while until this. I want to start my own business but my credit is crap and I have no savings. I just wish I could quit but I can't.,
42,h029yaa,please don't. please., do. not.||
43,h029rjz,"yes. I describe how I feel as there's two ""me's"" happening at once. the depressed brain is watching my body enjoy existence. it feels separate. I can go for a walk and logically understand my beautiful surroundings but the depression does not allow me to enjoy it.",||
44,h029pd1,Why does everybody want to be in a relationship?,||
45,h029htm,"oh my! this is exactly what I was thinking for the longest time!

""I'm smart enough to want to understand everything but too dumb to understand it."" So I always analyze everything and go for the seemingly best choice aaaand it's wrong. 

I actually think the key is not doing that. Of course, you should use your brain to look for ways out. BUT people lately seem to think that meditation and psychedelics help depression tremendously. And both of those are in the essence - don't think anything, don't try to control anything, just trust the process and let the brain heal itself.",
46,h0299o7,*hugs back*, and a happy new year!||
47,h029976,Thanks,worldThe UN has been given the go-ahead to resume peacekeeping operations in Haiti following the ouster of former military dictator Jean-Bertrand Aristide.||
48,h0295z3,Why do I have to interaction with people why cant I hide?,||
49,h02954m,I am scared," to death of what's going to happen in Syria, but I'm terrified that it is not going to be a bloody civil war. The only question is whether it can be resolved peacefully or if violence erupts.||"
50,h0294kc,But I hate myself for myself as well," as my fellow students, but I am so happy to be a part of an effort that is helping people in need around the country.||"
51,h0293xg,Also,"worldBAGHDAD, Iraq - As the first US convoy arrived in Iraq, a senior official from the US Embassy in Baghdad confirmed to Al Jazeera  #39;The State Department will continue to support efforts by all parties to bring peace and security||"
52,h029354,"""Friends"" are overrated. I wish I could be more invisible at times. Its mainly my own fault. I'm too nice and generous and people take advantage. I have a few SOLID friends though but I've wasted alot of time and energy on people who just take.",||
53,h0292op,I wish for the panic to end," and the game to come to a sudden, complete end in an instant. I hope we can all agree on what is at stake tonight, and I hope everyone can agree on what must be done as quickly as possible||"
54,h029073,Same here. Im hesitating to call up a friend to catch up but at the same time I don't want to cause your exact reason.,||
55,h028olu,When strangers on the internet care more about you than people you know irl,", it's time to embrace your unique personality and share it with the world.||"
56,h028oa8,My kids. Pretty certain I wouldn't be here if I didn't have them. I pray they don't ever feel this way.,||
57,h028m87,Boooo,"oo! I have been a huge supporter of this game and the team for so long.  #39;I #39;ve been through some tough times with injuries, but this has been an outstanding year for the Eagles.||"
58,h028m3j,Have you been on a date since your break up?," If so, congratulations! It #39;s the perfect day to have a new partner and be together.||"
59,h0288kz,"Okay...here it goes....

The past and future are not real. Only memory, imagination and the choice of now. Use your memory to learn from the past to make the best choice for now to imagine a better future. 

And that’s what I tell myself. Also Keanu Reeves. When he said “you don’t have to be happy to live, I’m not”. I felt that. Now I just try to put as much professionalism into my work as he does.",
60,h0286qp,Sometimes I think in the moment that is a good enough moment to end my life on a high note and end my life feeling content.,||
61,h0282er,"Well, I am not in the mental state to talk right now, and I may or may not delete this soon, but if you really wanna talk, you can talk to me if you want, or you can not talk to me, but either way, I don't know what I am doing and I am having a panic attack now so you can talk to me if you want. It's all right if you don't wanna talk to me but you can talk to me. But it's fine if you don't wanna talk. Sorry if I keep repeating shit",
62,h02818t,"Yes and then they say you have to work on yourself before you can make social connections because most people can't/won't deal with someone suffering from mental illnesses, so I don't know wtf we're supposed to do. Professional help only goes so far and really doesn't address that loneliness. They say build a support system ", #151; but what if you already have one?||
63,h027yav,I am sorry you are going through this. Have you considered therapy?,||
64,h027xad,Sounds like there’s some pretty hefty anxieties you’re dealing with. Have you considered talk therapy?,||
65,h027tqi,You write beautifully.  You should try to publish something.  This is beautifully written ❤,||
66,h027npx,"Satres ""Nausea"" is good, Marcus Aurelius ""Meditations"" but ""Art as Therapy"" by Alain De Botton has been a massive help to me", and my family in the last year and a half.||
67,h027lmn,"Have you told your people that you need some alone time?
It did help me skip all this nonsense and other potential misunderstandings on their part.

And the stuff they say usually fucks you up even more. ""Cheer up you have it better than most"" oh thanks for calling me weak you ignorant slug. ""It's not the end of the world"" You know what? For me it is the end of the world because this seemingly ""insignificant thing/person"" I don't have in my life anymore was the only thing keeping me sane. I don't have the energy to find ""something else I want to live for"" because all I've gotten so far is disappointment plus depression is not my choice.",
68,h027jgr,"I don't even have ups anymore. Can't remember the last time I did.

It's either downs or going straight forward, never up."," It was a good time for everyone in Atlanta, and we all agreed to put the Falcons on the map of what #39;s to come this week as we headed into Sunday #39;s season opener||"
69,h027hhb,I hate myself because I’m afraid of others & I’m afraid of others because I hate myself.,||
70,h027h1l,"I feel this. I have been a high functioning bipolar ii for a long time. Landed a management role when I was 18, got really good at it, so I skipped college and pursued that career path.

Had a severe break in 2017 that forced me into treatment. Ever since then, it’s been hard to get myself to care about a lot of things, especially my job. I have a really great gig right now, but no one at work knows about my issues. I had a scleral buckle procedure a few years ago, so I feign migraines on my worst days and call out of work. The worst was when I called out three days in a row, my depression was just that bad.

I’ve been out of treatment since I’ve gotten this new role back in October, because I needed to wait until my new insurance kicked in, I’ve definitely gone too long without my treatment plan. But it’s never to late to start, I was 32 when I first sought help, and it does stabilise you, if you do the work. Seek help. It will make other things in your life easier to manage.",
71,h027g17,I wish I would have the strength," to stand in the way, to be a good father for my daughter and stepfather, but I was too busy doing what I wanted.||"
72,h027eyg,"Exactly. I am 22 and feel tired already. What's worse is that things don't seem to get better no matter how much hard work I put in and try to get myself out of this dark abyss. Even after being helpful and nice to everyone, no one wants to be a friend of mine. There isn't even anyone to talk to, these days.",||
73,h027chz,Very wise words. I am sorry to hear that you had to go through all that. Mind if I ask where are u from ?,||
74,h0277k3,I can’t easily get a gun where I live it would take months and be super expensive and even if I could they’re like .22 (UK) so it wouldn’t even do the job. I e thought about jumping in front of train tracks but I’ve seen videos of what happens when someone is hit by a train. I’ve thought about hanging myself but if I’m not found for days I’ll look fucked up and I wouldn’t want my parents to see. I don’t want to look fucked up. It’s so messy I just want to die peacefully in my sleep,
75,h02762x,"This just sounds like you’ve been thinking too much. But also, I get your point. Ignorance is bliss, but trust me. The smarter you get, the harder it gets and the stronger that feeling is. 

And you’re not dumb for not knowing how to get out of depression. It’s not about intelligence at all. Thinking you’re dumb for having a chemical imbalance in your brain that makes you sad is literally the chemical imbalance making you think that. You get me?",
76,h027392,I am sure you are loved and should love yourself. Work a program that would help you out with your mind's behavior I think it would really help you and I am here if you need to chat.,||
77,h0271gc,"I am in the same position. 34 years and hate myself for it. Have you thought of taking the most obvious way out? Despite what people say, it's never going to get better.",||
78,h026zkm,"Yeah, I have a hard time reading or watching TV. Just this itchy, in content feeling when I try to focus on it. I actually found that reading in a quiet, public space helped me focus more, like a coffee shop, park or library.", It's just so much easier when you're doing something that people are willing to share and give you permission to share with them. So thanksgiving is my perfect holiday gift for me and for the world! By Kristen McManus||
79,h026lsq,"The moment I stopped caring so much about how smart/dumb I am, the less stressed/depressed I got. Tell yourself you are fine as you are right now. Uou are enough.",||
80,h026j53,"I would like to comment something, but I said it out. All I can say. To feel better just talk with others. I mean go to random posts, give some advice if you have. Express youurself there. It helped for me.", And that's what we all want from each other and everyone||
81,h026ikc,"I highly admire the fact that you built something for yourself and on your own. Don't ruin that, you are smart. Pick yourself up and try to get motivated and enjoy life. You could work an online program that will unconsciously give you all the guidance you need. I am here if you need to chat.","    If this was just a quickie, well done!||"
82,h026fbg,"I constantly daydream and I now know that I’d rather live in fantasy than live in reality. Took me a while to realize, but I’m ok with it. I just graduated college, no job, no current future, and I just don’t see much going for me. :/ idk", how you can be happy  #151;||
83,h026ek4,"It might suddenly change. I know this comment doesnt help, but I jave simailar problems, I just want to tell you tu not rush it...",Ive been playing since beta 1 and i cant find a single glitch or crash||
84,h026cge,I'm sorry for your situation. Hope things will turn out for the best.,||
85,h0269bo,Nothing. I wish I were dead," and the police had been on the scene when they found me, but that's not likely. It's probably a coincidence or coincidence-but it was a very suspicious event, and there #39;s nothing we can do about it now.||"
86,h0268tk,Beautiful words," from the president of Peru #39;s Congress, and the country #39;s new leader, Lima:||"
87,h0263kz,"Challenges. Enjoying everyvsecond, not thinking bout furter than a week in tge future.goals as well.", #39;s goal was a hat-trick on Sunday to give the London||
88,h0261s0,ok i have a really bad problem of fantasizing and making scenarios in my head. they are super fun but i do it way too often and overall i think its unhealthy for me. im so lonely i imagine scenarios with other people where im not super awkward idk its weird. what should i do,?||
89,h02616c,"Remember,dying is gay"," and lesbian, and the world needs to accept its diversity||"
90,h0260lm,"Kind of Stoic way of thinking, but more relatable. Thanks.",  #151;A Holographic Human #151; was a great little game to play with my kids and friends last night.||
91,h02603n,Thanks for that.," It's a big day for the NHL and an important milestone for all fans, including players and officials, as they celebrate the league #39;s first Stanley Cup title since 1980.||"
92,h025vvh,"I know thos is not  much. I just dont want to copy my comments. Accept challenges that life gives you. Even if its hard there is a hidden path around. I say a lit of things to my self like. Fuck it what happens, happens, so what? Ill just experiment. I should really get away from this postbi dont have much to say animore i was sooo poetic or something, but idk....",||
93,h025usa,"That's definitely true but sometimes people actually care about why you're dry or seem to close yourself off. Maybe they'd like to ask a bit but are afraid of pushing you further away or bothering you. I mean I can only say this because I've been in therapy for a year and a half but I feel like that's one of the big things I've learned. 

I'll give you a suggestion about what helped me when I felt that way, feel free to try or not :D also let me know how it goes if you do!

If you're with other people and catch yourself ""bringing the vibe down"", closing off, being dry or something along those lines, try telling someone about how you feel. Don't go all in right away with a massive depressive rant but maybe let them know you're feeling a bit down and stuff like that. It's crazy how different people's reaction is compared to what you expect (or at least I expected), people are almost always supportive and a deeper friendship might start, once people see you opening up they also feel more comfortable doing the same.",
94,h025t4o,"I get this no matter what I see. Sad stuff, good stuff, weird stuff. It's all dead to me. I'm currently near my favorite beach and it makes me feel so sick. I bury my face in the sand and scream because I think I'm never going to enjoy this or anything at all again.",||
95,h025poo,"[https://en.wikipedia.org/wiki/Dunning%E2%80%93Kruger\_effect#:\~:text=The%20Dunning%E2%80%93Kruger%20effect%20is,a%20task%20overestimate%20their%20ability.&text=It%20is%20related%20to%20the,recognize%20their%20lack%20of%20ability](https://en.wikipedia.org/wiki/Dunning%E2%80%93Kruger_effect#:~:text=The%20Dunning%E2%80%93Kruger%20effect%20is,a%20task%20overestimate%20their%20ability.&text=It%20is%20related%20to%20the,recognize%20their%20lack%20of%20ability). It could just be the duning-kruger affect?",
96,h025nvq,"I get this same feeling a lot. The only thing I can say is, we're already here anyways, so might as well say fuck it and do the things you want to do, even if it seems futile to just barely start now. Like a ""what else is there to do?"" thing. We're stuck with life, but we can at least get a kick or two out of it until we die eventually.",||
97,h025lsj,Kinda relatable. Though I don't bite my tongue because I'm pretty sure people want to get rid of me the moment we meet so it's not worth it. No matter how long someone stays in touch with me I will always believe they secretly dislike me.,||
